Family	Count	Hits	TotMarkerLength	Resistant_To	ID_Orig	Merged_ID	Class	Source	Description
YP_691152	148.85539460856157	12	63		emrd	MFS_Antibiotic_Efflux	emrd	ARDB	Multidrug resistance efflux pump.
soxR_5	401.2585326043044	12	31		soxR	Gene_Modulating_Antibiotic_Efflux	Gene_Modulating_Antibiotic_Efflux	WUSTL	soxR: mutant efflux regulatory protein conferring antibiotic resistance [ARO:3000836]
YP_403947	219.25493649248352	10	20	macrolide	macab	ABC_Antibiotic_Efflux	macab	ARDB	Resistance-nodulation-cell division transporter system. Multidrug resistance efflux pump. Macrolide-specific efflux system. 
YP_001480516	175.07237273048213	8	20	bacitracin	baca	Other_ARG	baca	ARDB	Undecaprenyl pyrophosphate phosphatase, which consists in the sequestration of Undecaprenyl pyrophosphate. 
YP_002382193	167.77769053337872	8	17		macab	ABC_Antibiotic_Efflux	macab	ARDB	Resistance-nodulation-cell division transporter system. Multidrug resistance efflux pump. Macrolide-specific efflux system. 
YP_001005900	131.3042795478616	6	30	deoxycholate; fosfomycin	mdtg	MFS_Antibiotic_Efflux	mdtg	ARDB	Major facilitator superfamily transporter. Multidrug resistance efflux pump.
macA_3	566.2497055501526	6	50		macA	ABC_Antibiotic_Efflux	ABC_Efflux_Pump	WUSTL	macA: subunit of efflux pump conferring antibiotic resistance [ARO:3000533]
NP_416758	419.44422633344675	5	21	polymyxin	arna	Other_ARG	arna	ARDB	Bifunctional enzyme that catalyzes the oxidative decarboxylation of UDP-glucuronic acid (UDP-GlcUA) to UDP-4-keto-arabinose (UDP-Ara4O) and the addition of a formyl group to UDP-4-amino-4-deoxy-L-arabinose (UDP-L-Ara4N) to form UDP-L-4-formamido-arabinose (UDP-L-Ara4FN). The modified arabinose is attached to lipid A and is required for resistance to polymyxin and cationic antimicrobial peptides.
baeR_2	264.91214294744003	5	14		baeR	Gene_Modulating_Antibiotic_Efflux	Gene_Modulating_Antibiotic_Efflux	WUSTL	baeR: subunit of gene modulating antibiotic efflux [ARO:3000828]
NP_414593	464.6151430155098	4	49	kasugamycin	ksga	rRNA_Methyltransferase	ksga	ARDB	Specifically dimethylates two adjacent adenosines in the loop of a conserved hairpin near the 3-end of 16S rRNA in the 30S particle. kasugamycin resistance.
NP_414995	1207.999371840325	4	33	acriflavin; aminoglycoside; beta_lactam; glycylcycline; macrolide	acr	RND_Antibiotic_Efflux	acr	ARDB	Resistance-nodulation-cell division transporter system. Multidrug resistance efflux pump.
phoQ_1	125.83326790003403	4	34		phoQ	Gene_Modulating_Antibiotic_Efflux	Gene_Modulating_Antibiotic_Efflux	WUSTL	phoQ: subunit of gene modulating antibiotic efflux [ARO:3000835]
